shapeid,fromstop,tostop,fft,length
1,4,11,6,0
1,11,23,8,0
1,23,24,2,0
2,1,3,4,0
2,3,12,4,0
2,12,13,3,0
2,13,24,4,0
3,11,14,4,0
3,14,23,4,0
3,23,24,2,0
3,24,13,4,0
4,8,20,11,0
4,20,21,6,0
4,21,22,2,0
4,22,23,4,0
5,7,8,3,0
5,8,16,5,0
5,16,18,3,0
5,18,20,4,0
6,14,15,5,0
6,15,19,3,0
6,19,20,4,0
6,20,22,5,0
6,22,23,4,0
7,2,6,5,0
7,6,8,2,0
7,8,9,10,0
7,9,10,3,0
7,10,11,5,0
7,11,12,6,0
8,4,5,2,0
8,5,9,5,0
8,9,10,3,0
8,10,17,8,0
8,17,19,2,0
8,19,20,4,0
9,10,16,4,0
9,16,17,2,0
9,17,19,2,0
9,19,20,4,0
9,20,21,6,0
9,21,24,3,0
10,1,3,4,0
10,3,4,4,0
10,4,5,2,0
10,5,9,5,0
10,9,10,3,0
10,10,15,6,0
10,15,19,3,0
10,19,20,4,0
