route_id,route_short_name,route_long_name,route_type
0004B,0004B,0004B,3
00095,00095,00095,3
00100,00100,00100,3
00106,00106,00106,3
00115,00115,00115,3
00190,00190,00190,3
00255,00255,00255,3
00270,00270,00270,3
00280,00280,00280,3
00400,00400,00400,3
00410,00410,00410,3
00450,00450,00450,3
00590,00590,00590,3
00810,00810,00810,3
00850,00850,00850,3
00875,00875,00875,3
00970,00970,00970,3
00E92,00E92,00E92,3
01210,01210,01210,3
01230,01230,01230,3
02030,02030,02030,3
02090,02090,02090,3
02220,02220,02220,3
02390,02390,02390,3
03310,03310,03310,3
03650,03650,03650,3
03710,03710,03710,3
03850,03850,03850,3
06050,06050,06050,3
06300,06300,06300,3
06520,06520,06520,3
07180,07180,07180,3
07900,07900,07900,3
08180,08180,08180,3
08620,08620,08620,3
09150,09150,09150,3
09640,09640,09640,3
09820,09820,09820,3
0E212,0E212,0E212,3
0E222,0E222,0E222,3
330B0,330B0,330B0,3
B6114,B6114,B6114,3
B6244,B6244,B6244,3
B6264,B6264,B6264,3
B6444,B6444,B6444,3
B6504,B6504,B6504,3
B6554,B6554,B6554,3
B6624,B6624,B6624,3
B6794,B6794,B6794,3
B6894,B6894,B6894,3
B7014,B7014,B7014,3
B7144,B7144,B7144,3
B7184,B7184,B7184,3
B7224,B7224,B7224,3
B7404,B7404,B7404,3
B7904,B7904,B7904,3
B7974,B7974,B7974,3
B8514,B8514,B8514,3
B8564,B8564,B8564,3
K3840,K3840,K3840,3
K5780,K5780,K5780,3
M2063,M2063,M2063,3
M2293,M2293,M2293,3
M2333,M2333,M2333,3
M2403,M2403,M2403,3
M2443,M2443,M2443,3
M2523,M2523,M2523,3
M2783,M2783,M2783,3
M3023,M3023,M3023,3
M3113,M3113,M3113,3
M3213,M3213,M3213,3
M3273,M3273,M3273,3
M3473,M3473,M3473,3
M3573,M3573,M3573,3
M3613,M3613,M3613,3
M3713,M3713,M3713,3
M3823,M3823,M3823,3
M3853,M3853,M3853,3
M4063,M4063,M4063,3
M4543,M4543,M4543,3
M4553,M4553,M4553,3
M4563,M4563,M4563,3
M4603,M4603,M4603,3
M4693,M4693,M4693,3
M4703,M4703,M4703,3
M4853,M4853,M4853,3
00010,00010,00010,3
0001C,0001C,0001C,3
0005C,0005C,0005C,3
00070,00070,00070,3
00076,00076,00076,3
0007C,0007C,0007C,3
00140,00140,00140,3
00220,00220,00220,3
00265,00265,00265,3
00305,00305,00305,3
00500,00500,00500,3
00515,00515,00515,3
00540,00540,00540,3
00630,00630,00630,3
00650,00650,00650,3
00670,00670,00670,3
00700,00700,00700,3
00705,00705,00705,3
00730,00730,00730,3
00740,00740,00740,3
00915,00915,00915,3
00E32,00E32,00E32,3
01130,01130,01130,3
03020,03020,03020,3
03580,03580,03580,3
03810,03810,03810,3
03950,03950,03950,3
06290,06290,06290,3
06350,06350,06350,3
06510,06510,06510,3
06680,06680,06680,3
08110,08110,08110,3
08390,08390,08390,3
09540,09540,09540,3
09790,09790,09790,3
0E232,0E232,0E232,3
380B0,380B0,380B0,3
821B0,821B0,821B0,3
86828,86828,86828,3
982B0,982B0,982B0,3
B6074,B6074,B6074,3
B6094,B6094,B6094,3
B6134,B6134,B6134,3
B6564,B6564,B6564,3
B6574,B6574,B6574,3
B7064,B7064,B7064,3
B7104,B7104,B7104,3
B7154,B7154,B7154,3
B7514,B7514,B7514,3
B7644,B7644,B7644,3
B7654,B7654,B7654,3
B7694,B7694,B7694,3
B7804,B7804,B7804,3
B7864,B7864,B7864,3
B7884,B7884,B7884,3
B8404,B8404,B8404,3
B8594,B8594,B8594,3
B8674,B8674,B8674,3
B8734,B8734,B8734,3
K1050,K1050,K1050,3
K2040,K2040,K2040,3
M2103,M2103,M2103,3
M2143,M2143,M2143,3
M2203,M2203,M2203,3
M2413,M2413,M2413,3
M2453,M2453,M2453,3
M2493,M2493,M2493,3
M2563,M2563,M2563,3
M2613,M2613,M2613,3
M2773,M2773,M2773,3
M2953,M2953,M2953,3
M2963,M2963,M2963,3
M2973,M2973,M2973,3
M2993,M2993,M2993,3
M3043,M3043,M3043,3
M3083,M3083,M3083,3
M3163,M3163,M3163,3
M3353,M3353,M3353,3
M3483,M3483,M3483,3
M3493,M3493,M3493,3
M3543,M3543,M3543,3
M3893,M3893,M3893,3
M4033,M4033,M4033,3
M4103,M4103,M4103,3
M4113,M4113,M4113,3
M4183,M4183,M4183,3
M4373,M4373,M4373,3
M4433,M4433,M4433,3
M4463,M4463,M4463,3
M4643,M4643,M4643,3
M4763,M4763,M4763,3
M4793,M4793,M4793,3
0010C,0010C,0010C,3
00110,00110,00110,3
00145,00145,00145,3
00175,00175,00175,3
00260,00260,00260,3
00290,00290,00290,3
00325,00325,00325,3
00505,00505,00505,3
00545,00545,00545,3
00580,00580,00580,3
00585,00585,00585,3
01110,01110,01110,3
02020,02020,02020,3
02290,02290,02290,3
02450,02450,02450,3
03060,03060,03060,3
03170,03170,03170,3
03690,03690,03690,3
03930,03930,03930,3
06030,06030,06030,3
07670,07670,07670,3
07690,07690,07690,3
07790,07790,07790,3
07820,07820,07820,3
07910,07910,07910,3
07970,07970,07970,3
08100,08100,08100,3
0E152,0E152,0E152,3
0E282,0E282,0E282,3
B6154,B6154,B6154,3
B6404,B6404,B6404,3
B6424,B6424,B6424,3
B6524,B6524,B6524,3
B6674,B6674,B6674,3
B6784,B6784,B6784,3
B7424,B7424,B7424,3
B7454,B7454,B7454,3
B7554,B7554,B7554,3
B7604,B7604,B7604,3
B7614,B7614,B7614,3
B7964,B7964,B7964,3
