STOPID,STOPNAME,X,Y
XBUS_00000179,XBUS_00000179,22.55,113.9009
XBUS_00004608,XBUS_00004608,22.524556,113.999982
XBUS_00004609,XBUS_00004609,22.516054,113.934881
XBUS_00004610,XBUS_00004610,22.526545,114.001847
XBUS_00004611,XBUS_00004611,22.532357,114.001502
XBUS_00004612,XBUS_00004612,22.53253,114.002667
XBUS_00004613,XBUS_00004613,22.532059,114.003192
XBUS_00004614,XBUS_00004614,22.541171,113.998242
XBUS_00004615,XBUS_00004615,22.533117,114.006595
XBUS_00004616,XBUS_00004616,22.537913,114.023052
XBUS_00004617,XBUS_00004617,22.537944,114.022825
XBUS_00004619,XBUS_00004619,22.533588,114.012863
XBUS_00004620,XBUS_00004620,22.541091,114.017033
XBUS_00004621,XBUS_00004621,22.541547,114.016641
XBUS_00004622,XBUS_00004622,22.536916,114.019083
XBUS_00004623,XBUS_00004623,22.536877,114.020219
XBUS_00004624,XBUS_00004624,22.534897,114.020579
XBUS_00004625,XBUS_00004625,22.535063,114.020942
XBUS_00004626,XBUS_00004626,22.539124,114.017448
XBUS_00004627,XBUS_00004627,22.538838,114.017813
XBUS_00004628,XBUS_00004628,22.540865,114.019108
XBUS_00004629,XBUS_00004629,22.540783,114.019599
XBUS_00004630,XBUS_00004630,22.523528,114.024599
XBUS_00004631,XBUS_00004631,22.521134,114.028931
XBUS_00004632,XBUS_00004632,22.522375,114.025824
XBUS_00004633,XBUS_00004633,22.51979,114.030472
XBUS_00004634,XBUS_00004634,22.518754,114.033262
XBUS_00004635,XBUS_00004635,22.518815,114.034668
XBUS_00004636,XBUS_00004636,22.517382,114.034807
XBUS_00004637,XBUS_00004637,22.519383,114.03487
XBUS_00004638,XBUS_00004638,22.524668,114.035154
XBUS_00004639,XBUS_00004639,22.521936,114.036599
XBUS_00004640,XBUS_00004640,22.521771,114.03669
XBUS_00004641,XBUS_00004641,22.528919,114.024986
XBUS_00004642,XBUS_00004642,22.530828,114.024816
XBUS_00004643,XBUS_00004643,22.528929,114.026286
XBUS_00004644,XBUS_00004644,22.528751,114.028224
XBUS_00004645,XBUS_00004645,22.527861,114.045342
XBUS_00004646,XBUS_00004646,22.52962,114.025845
XBUS_00004648,XBUS_00004648,22.536262,114.024645
XBUS_00004649,XBUS_00004649,22.536052,114.023521
XBUS_00004651,XBUS_00004651,22.535576,114.024034
XBUS_00004652,XBUS_00004652,22.540501,114.027126
XBUS_00004653,XBUS_00004653,22.54044,114.027676
XBUS_00004654,XBUS_00004654,22.531736,114.029605
XBUS_00004655,XBUS_00004655,22.532158,114.029755
XBUS_00004656,XBUS_00004656,22.525085,114.034938
XBUS_00004658,XBUS_00004658,22.515947,114.038406
XBUS_00004659,XBUS_00004659,22.514794,114.039757
XBUS_00004660,XBUS_00004660,22.514414,114.044335
XBUS_00004661,XBUS_00004661,22.514487,114.044602
XBUS_00004662,XBUS_00004662,22.516198,114.045656
XBUS_00004663,XBUS_00004663,22.519936,114.038202
XBUS_00004664,XBUS_00004664,22.520346,114.03767
XBUS_00004665,XBUS_00004665,22.519718,114.040858
XBUS_00004666,XBUS_00004666,22.51969,114.040978
XBUS_00004667,XBUS_00004667,22.525039,114.038631
XBUS_00004668,XBUS_00004668,22.525352,114.038955
XBUS_00004669,XBUS_00004669,22.52133,114.041459
XBUS_00004670,XBUS_00004670,22.522012,114.040618
XBUS_00004671,XBUS_00004671,22.524825,114.040756
XBUS_00004672,XBUS_00004672,22.524988,114.040796
XBUS_00004673,XBUS_00004673,22.519923,114.043909
XBUS_00004674,XBUS_00004674,22.520175,114.04395
XBUS_00004675,XBUS_00004675,22.523065,114.043779
XBUS_00004676,XBUS_00004676,22.523764,114.043841
XBUS_00004680,XBUS_00004680,22.516067,114.051996
