route_id,route_short_name,route_long_name,route_type
10a,,,3
10b,,,3
11a,,,3
11b,,,3
12a,,,3
12b,,,3
13a,,,3
13b,,,3
14a,,,3
14b,,,3
15ae,,,3
16a,,,3
16b,,,3
17a,,,3
17b,,,3
18a,,,3
18b,,,3
19a,,,3
19b,,,3
1a,,,3
1b,,,3
20a,,,3
20b,,,3
21a,,,3
21b,,,3
22a,,,3
22b,,,3
23a,,,3
23b,,,3
24a,,,3
24b,,,3
25a,,,3
25b,,,3
26a,,,3
26b,,,3
27ae,,,3
27be,,,3
28a,,,3
28b,,,3
29a,,,3
29b,,,3
2a,,,3
2b,,,3
30a,,,3
30b,,,3
31a,,,3
31b,,,3
32a,,,3
32b,,,3
33a,,,3
33b,,,3
34a,,,3
34b,,,3
35ae,,,3
35be,,,3
36a,,,3
36b,,,3
37a,,,3
37b,,,3
38ae,,,3
38be,,,3
39a,,,3
39b,,,3
3a,,,3
3b,,,3
40a,,,3
40b,,,3
41a,,,3
41b,,,3
42a,,,3
42b,,,3
43a,,,3
43b,,,3
44a,,,3
44b,,,3
45ae,,,3
45be,,,3
46a,,,3
46b,,,3
47a,,,3
47b,,,3
48ae,,,3
48be,,,3
49ae,,,3
49be,,,3
4a,,,3
4b,,,3
50ae,,,3
50be,,,3
51ae,,,3
51be,,,3
52a,,,3
52b,,,3
53a,,,3
53b,,,3
54a,,,3
54b,,,3
55a,,,3
55b,,,3
56ae,,,3
56be,,,3
57a,,,3
58a,,,3
58b,,,3
59ae,,,3
59be,,,3
5a,,,3
5b,,,3
60a,,,3
60b,,,3
61a,,,3
61b,,,3
62a,,,3
62b,,,3
63a,,,3
63b,,,3
64a,,,3
64b,,,3
65a,,,3
65b,,,3
66a,,,3
66b,,,3
67a,,,3
67b,,,3
6a,,,3
6b,,,3
7a,,,3
7b,,,3
8a,,,3
8b,,,3
9a,,,3
9b,,,3
