shapeid,fromstop,tostop,fft,length
10a,527,526,3,0.43
10a,526,525,3,0.83
10a,525,524,3,0.77
10a,524,523,3,0.2
10a,523,510,3,0.62
10a,510,504,3,0.52
10a,504,503,3,0.51
10a,503,502,3,0.54
10a,502,423,3,0.53
10a,423,422,3,0.41
10a,422,419,3,0.19
10a,419,418,3,0.12
10a,418,890,3,0.19
10a,890,891,3,0.07
10a,891,892,3,0.26
10a,892,893,3,0.11
10a,893,894,3,0.25
10a,894,895,3,0.16
10a,895,900,3,0.12
10a,900,901,3,0.12
10a,901,917,3,0.1
10a,917,931,3,0.1
10a,931,937,3,0.1
10a,937,948,3,0.1
10a,948,966,3,0.1
10a,966,981,3,0.11
10a,981,1005,3,0.1
10a,1005,1021,3,0.1
10a,1021,1025,3,0.1
10a,1025,1042,3,0.12
10a,1042,1043,3,0.18
10a,1043,1044,3,0.1
10a,1044,1045,3,0.11
10a,1045,1046,3,0.07
10a,1046,1047,3,0.09
10a,1047,1050,3,0.07
10a,1050,1051,3,0.11
10a,1051,1052,3,0.12
10a,1052,1053,3,0.24
10a,1053,1054,3,0.18
10a,1054,783,3,0.07
10a,783,782,3,0.12
10a,782,781,3,0.35
10a,781,784,3,0.47
10a,784,811,3,0.29
10a,811,813,3,0.25
10a,813,826,3,0.44
10a,826,829,3,0.53
10a,829,850,3,0.76
10a,850,849,5,0.41
10a,849,847,5,0.61
10a,847,846,5,0.82
10a,846,845,5,0.96
10a,845,857,3,1.07
10b,857,845,3,1.07
10b,845,846,5,0.96
10b,846,847,5,0.82
10b,847,849,5,0.61
10b,849,850,5,0.41
10b,850,829,3,0.76
10b,829,826,3,0.53
10b,826,813,3,0.44
10b,813,811,3,0.25
10b,811,784,3,0.29
10b,784,781,3,0.47
10b,781,782,3,0.35
10b,782,783,3,0.12
10b,783,1054,3,0.07
10b,1054,1053,3,0.18
10b,1053,1052,3,0.24
10b,1052,1051,3,0.12
10b,1051,1050,3,0.11
10b,1050,1047,3,0.07
10b,1047,1046,3,0.09
10b,1046,1045,3,0.07
10b,1045,1044,3,0.11
10b,1044,1043,3,0.1
10b,1043,1042,3,0.18
10b,1042,1025,3,0.12
10b,1025,1021,3,0.1
10b,1021,1005,3,0.1
10b,1005,981,3,0.1
10b,981,966,3,0.11
10b,966,948,3,0.1
10b,948,937,3,0.1
10b,937,931,3,0.1
10b,931,917,3,0.1
10b,917,901,3,0.1
10b,901,900,3,0.12
10b,900,895,3,0.12
10b,895,894,3,0.16
10b,894,893,3,0.25
10b,893,892,3,0.11
10b,892,891,3,0.26
10b,891,890,3,0.07
10b,890,418,3,0.15
10b,418,419,3,0.12
10b,419,422,3,0.19
10b,422,423,3,0.41
10b,423,502,3,0.53
10b,502,503,3,0.54
10b,503,504,3,0.51
10b,504,510,3,0.52
10b,510,523,3,0.62
10b,523,524,3,0.2
10b,524,525,3,0.77
10b,525,526,3,0.83
10b,526,527,3,0.43
11a,527,526,3,0.43
11a,526,525,3,0.83
11a,525,524,3,0.77
11a,524,523,3,0.2
11a,523,510,3,0.62
11a,510,504,3,0.52
11a,504,503,3,0.51
11a,503,502,3,0.54
11a,502,423,3,0.53
11a,423,422,3,0.41
11a,422,419,3,0.19
11a,419,418,3,0.12
11a,418,890,3,0.19
11a,890,891,3,0.07
11a,891,892,3,0.26
11a,892,893,3,0.11
11a,893,894,3,0.25
11a,894,895,3,0.16
11a,895,900,3,0.12
11a,900,901,3,0.12
11a,901,917,3,0.1
11a,917,931,3,0.1
11a,931,937,3,0.1
11a,937,948,3,0.1
11a,948,966,3,0.1
11a,966,981,3,0.11
11a,981,1005,3,0.1
11a,1005,1021,3,0.1
11a,1021,1025,3,0.1
11a,1025,1042,3,0.12
11a,1042,1043,3,0.18
11a,1043,1044,3,0.1
11a,1044,1045,3,0.11
11a,1045,1046,3,0.07
11a,1046,1047,3,0.09
11a,1047,1050,3,0.07
11a,1050,1051,3,0.11
11a,1051,1052,3,0.12
11a,1052,1053,3,0.24
11a,1053,1054,3,0.18
11a,1054,783,3,0.07
11a,783,782,3,0.12
11a,782,781,3,0.35
11a,781,784,3,0.47
11a,784,811,3,0.29
11a,811,813,3,0.25
11a,813,826,3,0.44
11a,826,829,3,0.53
11a,829,850,3,0.76
11a,850,851,3,0.65
11a,851,853,3,0.41
11a,853,878,3,0.55
11b,878,853,3,0.55
11b,853,851,3,0.41
11b,851,850,3,0.65
11b,850,829,3,0.76
11b,829,826,3,0.53
11b,826,813,3,0.44
11b,813,811,3,0.25
11b,811,784,3,0.29
11b,784,781,3,0.47
11b,781,782,3,0.35
11b,782,783,3,0.12
11b,783,1054,3,0.07
11b,1054,1053,3,0.18
11b,1053,1052,3,0.24
11b,1052,1051,3,0.12
11b,1051,1050,3,0.11
11b,1050,1047,3,0.07
11b,1047,1046,3,0.09
11b,1046,1045,3,0.07
11b,1045,1044,3,0.11
11b,1044,1043,3,0.1
11b,1043,1042,3,0.18
11b,1042,1025,3,0.12
11b,1025,1021,3,0.1
11b,1021,1005,3,0.1
11b,1005,981,3,0.1
11b,981,966,3,0.11
11b,966,948,3,0.1
11b,948,937,3,0.1
11b,937,931,3,0.1
11b,931,917,3,0.1
11b,917,901,3,0.1
11b,901,900,3,0.12
11b,900,895,3,0.12
11b,895,894,3,0.16
11b,894,893,3,0.25
11b,893,892,3,0.11
11b,892,891,3,0.26
11b,891,890,3,0.07
11b,890,418,3,0.15
11b,418,419,3,0.12
11b,419,422,3,0.19
11b,422,423,3,0.41
11b,423,502,3,0.53
11b,502,503,3,0.54
11b,503,504,3,0.51
11b,504,510,3,0.52
11b,510,523,3,0.62
11b,523,524,3,0.2
11b,524,525,3,0.77
11b,525,526,3,0.83
11b,526,527,3,0.43
12a,520,521,2,0.67
12a,521,522,2,0.94
12a,522,511,2,0.79
12a,511,509,2,0.17
12a,509,505,2,0.54
12a,505,421,2,0.69
12a,421,422,2,0.43
12a,422,417,2,0.31
12a,417,415,2,0.27
12a,415,413,2,0.43
12a,413,411,2,0.27
12a,411,410,2,0.1
12a,410,1034,2,0.18
12a,1034,1035,2,0.09
12a,1035,1036,2,0.22
12a,1036,1037,2,0.18
12a,1037,1038,2,0.17
12a,1038,1039,2,0.17
12a,1039,1026,2,0.12
12a,1026,1020,2,0.1
12a,1020,1019,2,0.05
