fromstop,tostop,fft,length,capacity
1,1042,4.63392,0.24,0
1,1046,4.63392,0.24,0
1,1060,5.98548,0.31,0
2,985,4.44084,0.23,0
2,1000,4.44084,0.23,0
2,1003,6.56472,0.34,0
2,1023,4.63392,0.24,0
2,1024,4.44084,0.23,0
2,1046,4.63392,0.24,0
3,976,4.44084,0.23,0
3,1010,4.44084,0.23,0
3,1032,3.66852,0.19,0
4,979,3.47544,0.18,0
4,981,4.05468,0.21,0
4,1007,3.47544,0.18,0
4,1017,3.47544,0.18,0
4,1019,3.47544,0.18,0
4,1025,4.05468,0.21,0
4,1027,4.05468,0.21,0
5,892,5.02008,0.26,0
5,922,5.98548,0.31,0
5,923,4.44084,0.23,0
6,900,3.47544,0.18,0
6,901,4.05468,0.21,0
6,919,4.05468,0.21,0
7,912,6.17856,0.32,0
7,951,6.7578,0.35,0
7,952,6.17856,0.32,0
7,954,5.59932,0.29,0
7,958,6.7578,0.35,0
8,901,4.63392,0.24,0
8,905,4.05468,0.21,0
8,916,4.44084,0.23,0
8,932,4.44084,0.23,0
9,1053,5.59932,0.29,0
9,1058,1.9308,0.1,0
9,1059,5.59932,0.29,0
10,783,7.7232,0.4,0
10,1057,11.77788,0.61,0
11,171,7.7232,0.4,0
11,199,7.7232,0.4,0
12,172,7.7232,0.4,0
12,198,8.6886,0.45,0
13,175,6.56472,0.34,0
14,174,9.26784,0.48,0
14,195,7.7232,0.4,0
14,196,8.6886,0.45,0
15,176,5.59932,0.29,0
15,193,3.66852,0.19,0
15,194,12.74328,0.66,0
16,231,10.23324,0.53,0
16,237,6.17856,0.32,0
16,239,7.7232,0.4,0
17,178,7.7232,0.4,0
17,191,6.37164,0.33,0
17,193,10.81248,0.56,0
17,211,18.92184,0.98,0
18,181,13.12944,0.68,0
18,208,13.32252,0.69,0
19,229,9.654,0.5,0
19,232,7.7232,0.4,0
20,182,12.35712,0.64,0
20,206,23.55576,1.22,0
22,298,6.17856,0.32,0
23,314,5.02008,0.26,0
24,300,9.654,0.5,0
24,301,8.30244,0.43,0
24,313,8.30244,0.43,0
24,340,5.59932,0.29,0
25,241,6.17856,0.32,0
25,243,6.17856,0.32,0
25,244,4.63392,0.24,0
26,293,7.7232,0.4,0
27,286,7.7232,0.4,0
27,321,10.6194,0.55,0
28,259,8.10936,0.42,0
29,253,4.63392,0.24,0
30,275,6.7578,0.35,0
30,282,6.7578,0.35,0
31,260,15.4464,0.8,0
31,262,20.85264,1.08,0
31,263,7.7232,0.4,0
31,264,7.7232,0.4,0
32,281,5.98548,0.31,0
32,282,5.98548,0.31,0
33,308,5.59932,0.29,0
33,309,7.14396,0.37,0
33,310,7.14396,0.37,0
33,326,6.56472,0.34,0
33,327,9.26784,0.48,0
34,307,4.63392,0.24,0
34,308,6.56472,0.34,0
35,318,4.63392,0.24,0
35,409,7.7232,0.4,0
36,330,6.17856,0.32,0
37,334,5.59932,0.29,0
38,380,7.7232,0.4,0
38,381,7.7232,0.4,0
38,382,15.4464,0.8,0
38,387,19.88724,1.03,0
39,362,4.44084,0.23,0
39,363,4.63392,0.24,0
40,364,4.63392,0.24,0
41,336,5.02008,0.26,0
41,337,3.66852,0.19,0
42,338,9.84708,0.51,0
42,339,9.07476,0.47,0
43,368,9.07476,0.47,0
43,379,5.59932,0.29,0
44,346,7.7232,0.4,0
44,347,10.23324,0.53,0
44,348,11.19864,0.58,0
44,359,11.77788,0.61,0
45,388,15.83256,0.82,0
45,390,7.7232,0.4,0
45,394,7.7232,0.4,0
46,351,9.84708,0.51,0
46,370,7.7232,0.4,0
47,416,4.63392,0.24,0
47,417,4.63392,0.24,0
47,418,12.35712,0.64,0
48,425,5.21316,0.27,0
49,423,4.05468,0.21,0
49,502,3.47544,0.18,0
50,427,9.84708,0.51,0
50,430,5.59932,0.29,0
50,431,5.59932,0.29,0
51,426,8.6886,0.45,0
51,433,6.7578,0.35,0
